"note","user","startSession","clickInputNote","saveNote","cancelNote","updateNote","hoverTextarea","hoverEntityInNote","addEntity","addEntityRepeat","removeEntity","removeFromYear","removeFromChart","replyToNote","clickEditNote","selectCountry","deselectCountry","hoverCountryLabel","deselectAll","deleteNote","viewCountryNote","viewYearNote","removeFilter","viewDiscussion","removeDiscussion","showNotes","onlyShowMine","alsoShowPublic","hideNotes","dragNode","hoverNode","scrollToView","gotoQuestionnaire","checkQuestionnaire","checkTutorial","checkTask","toHidden","toVisible","hoverNoteInNote","hoverNoteText","selectYear","selectYearNote","play","playNote","stop","stopNote","hoverMapPoint","hoverMapPointNote","hoverTimeline","hoverTimelineNote","hoverSpecificYear","hoverSpecificYearNote","hoverYearLabel","hoverYearLabelNote","hoverMouseline","hoverMouselineNote"
"5ecd7c80bccbe221a1629e8b",5,1,3,2,1,0,2,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"5ecd7cdebccbe221a1629ea2",5,1,6,5,1,3,5,0,8,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"5ecd7d51bccbe221a1629eb5",5,1,6,5,1,2,5,0,7,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"5ecd7d9dbccbe221a1629ecd",5,1,6,5,1,1,5,0,6,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"5ecd2ad0bccbe221a1628b36",6,1,1,1,0,0,2,0,2,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"5ecd2b5abccbe221a1628b70",6,1,2,2,0,0,3,0,4,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
"5ecd2bbfbccbe221a1628bac",6,1,3,3,0,0,4,0,6,1,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0
"5ecd2c3ebccbe221a1628be6",6,1,4,4,0,0,4,0,7,1,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0
"5ecd2cb4bccbe221a1628c1b",6,1,5,5,0,0,4,0,8,1,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0
"5ecd2d5abccbe221a1628c6f",6,1,6,6,0,0,5,0,9,1,1,1,0,0,0,5,3,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,0
"5eccfb4bbccbe221a1627e87",7,1,0,2,4,1,4,0,5,0,2,0,0,5,2,7,5,1,0,1,0,0,0,1,0,1,3,3,0,0,0,2,0,0,1,0,2,2,0,0,2,0,0,0,0,0,1,0,1,0,1,1,0,0,2,8
"5eccfc39bccbe221a1627e88",7,1,0,3,4,1,6,0,8,0,2,0,0,6,2,7,5,1,0,1,0,0,0,1,0,1,3,3,0,0,0,2,0,0,1,0,2,2,0,0,2,0,0,0,0,0,1,0,1,0,1,1,0,0,2,10
"5eccff78bccbe221a1627ee2",7,1,1,4,4,1,7,0,8,0,2,0,0,6,2,17,8,2,1,1,0,0,0,1,0,1,4,4,0,0,0,2,0,0,2,0,5,5,0,1,3,0,0,0,0,0,1,0,4,0,2,1,1,0,2,12
"5ecd036cbccbe221a1627f2f",7,1,2,5,5,1,15,0,11,1,4,0,0,7,2,25,12,3,2,1,0,0,0,2,1,1,5,5,0,1,0,4,0,0,2,0,8,8,0,1,3,0,1,0,1,0,2,0,8,0,4,1,1,0,2,15
"5ecd0600bccbe221a1627ff5",7,1,3,6,5,1,24,0,14,1,4,0,0,7,2,49,18,4,3,1,0,0,0,2,1,1,6,5,0,1,0,4,0,0,2,0,9,9,0,2,4,0,1,0,1,0,3,0,8,0,4,1,2,0,4,15
"5ecd0857bccbe221a1628053",7,1,4,7,5,1,28,0,16,1,4,0,0,7,2,51,18,4,4,1,0,0,0,2,1,1,6,6,0,1,0,4,0,0,2,0,10,10,0,2,10,0,1,0,1,0,4,0,11,0,4,1,4,0,4,15
"5ecd0ea8bccbe221a162828e",7,1,5,8,5,1,34,0,17,3,4,0,0,7,2,88,44,5,8,1,0,0,0,2,1,1,7,7,0,1,0,4,0,0,2,0,14,14,0,2,13,0,1,0,1,0,11,0,15,0,6,1,5,0,4,15
"5ecda8e9bccbe221a162a3b0",8,1,1,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5ecda917bccbe221a162a3b1",8,1,2,2,0,0,3,0,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5ecda946bccbe221a162a3c8",8,1,3,3,0,0,4,0,4,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5ecda971bccbe221a162a3df",8,1,4,4,0,0,5,0,5,0,0,0,0,0,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5ecda990bccbe221a162a3eb",8,1,5,5,0,0,6,0,6,0,0,0,0,0,0,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5ecfe2e15250f80529910f26",9,1,2,1,1,0,2,0,3,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5ecfe3905250f80529910f3f",9,1,2,2,1,0,2,0,4,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5ecfe4315250f80529910f6d",9,1,4,4,3,2,5,0,6,0,2,2,0,1,4,8,6,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
"5ecfe4895250f80529910f79",9,1,4,4,3,1,5,0,5,0,2,2,0,1,3,6,4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
"5ecfe5315250f80529910f9c",9,1,5,5,3,2,7,0,7,0,2,2,0,1,4,10,8,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
"5ed3b6415250f80529913e2e",10,1,0,1,0,0,11,0,5,0,2,0,0,1,0,4,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
"5ed3b8105250f80529913e74",10,1,0,2,0,0,15,0,6,0,2,0,0,2,0,11,8,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
"5ed3b8f25250f80529913e98",10,1,0,3,0,0,17,0,8,0,2,0,0,3,0,12,10,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,1,0,0,0,1,0
"5ed3b9d05250f80529913ed4",10,1,0,4,0,0,20,0,9,0,2,0,0,4,0,15,14,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,2,0,1,0,0,0,1,0
"5ed3c10b5250f80529913f9f",10,1,0,5,1,0,26,1,14,0,3,0,0,6,0,21,20,0,0,0,0,1,1,0,0,1,2,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,2,2,0,1,1,0,0,3,0
"5ed2dae65250f80529912b84",11,1,1,1,0,1,6,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,1,0,5,0,1,0,2,0,0,0,3,0
"5ed2de565250f80529912bc3",11,1,3,3,0,1,16,0,5,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,2,0,7,0,0,1,0,1,0,6,0,1,0,2,0,0,0,3,0
"5ed2e1575250f80529912c35",11,2,5,4,0,1,19,0,11,0,0,0,0,0,1,8,5,0,0,0,2,0,1,0,0,2,7,6,0,0,0,0,0,0,0,0,3,3,0,9,0,0,1,0,1,0,7,0,1,0,3,0,0,0,4,1
"5ed2e1f75250f80529912c4d",11,2,6,5,0,1,20,0,12,0,0,0,0,0,1,11,8,0,0,0,3,0,2,0,0,2,8,7,0,0,0,0,0,0,0,0,3,3,0,9,0,0,1,0,1,0,7,0,1,0,3,0,0,0,4,1
"5ed2e3d95250f80529912cc3",11,2,7,6,0,1,25,0,16,0,0,0,0,0,1,13,10,2,0,1,3,0,3,0,0,3,11,9,1,0,0,0,0,0,0,0,3,3,0,11,0,0,1,0,1,0,7,0,2,0,3,0,0,0,5,1
"5ecc6172bccbe221a16256df",12,1,0,1,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5ecc618ebccbe221a16256f6",12,1,0,2,0,0,2,0,2,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5ecc61c7bccbe221a162572f",12,1,0,3,0,0,4,0,3,0,0,0,0,3,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"5ecc6218bccbe221a1625760",12,1,0,4,0,0,6,0,4,0,0,0,0,4,0,4,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"5ecc6255bccbe221a16257a8",12,1,0,5,0,0,8,0,5,0,0,0,0,5,0,5,4,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"5ecc62bfbccbe221a16257f1",12,1,0,6,0,0,9,0,6,0,0,0,0,6,0,9,5,0,1,0,1,2,1,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"5ecc379ebccbe221a1623426",13,1,1,1,0,0,2,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5ecc37e2bccbe221a16234b5",13,1,1,2,0,0,3,1,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,2,0,1,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"5ecc38b9bccbe221a162360e",13,1,2,3,0,0,5,1,12,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,3,3,0,1,12,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
"5ecc3a42bccbe221a162382c",13,1,4,4,1,0,10,1,14,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,1,6,6,0,1,38,0,0,2,0,2,3,0,0,0,0,1,2,0,0,1
"5ecc3ababccbe221a162388b",13,1,5,5,1,0,12,1,16,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,1,7,7,0,1,59,0,0,2,0,2,4,0,0,0,0,1,2,0,0,1
"5ecc3bc8bccbe221a162398f",13,1,6,6,1,0,14,1,18,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,4,0,0,0,0,0,0,0,2,8,8,0,1,106,0,0,2,0,2,4,1,0,0,0,1,3,0,0,1
"5ed48d915250f80529914b57",14,1,2,2,1,0,2,0,2,0,0,0,0,1,0,7,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0
"5ed48e055250f80529914b63",14,1,3,3,1,0,3,0,4,0,1,0,0,1,0,10,3,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0
"5ed48e795250f80529914b64",14,1,4,4,1,0,3,0,6,0,1,0,0,1,0,11,3,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0
"5ed48edc5250f80529914b70",14,1,5,5,1,0,4,0,7,0,1,0,0,1,0,14,3,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0
"5ed48f595250f80529914b7c",14,1,6,6,1,0,5,0,8,0,1,0,0,1,0,15,3,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0
"5ecc67aabccbe221a16259cb",15,1,0,1,0,0,3,0,3,0,2,0,0,1,0,16,14,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0
"5ecc6880bccbe221a1625a50",15,1,1,2,0,0,9,0,6,0,4,0,0,1,0,19,17,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,4,0
"5ecc69a2bccbe221a1625b2e",15,1,2,3,0,0,16,0,7,0,4,0,0,1,0,25,23,2,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,4,1
"5ecc6ad8bccbe221a1625bb9",15,1,3,4,0,0,19,0,8,0,4,0,0,1,0,49,47,2,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,1,0,3,0,1,0,1,0,4,1
"5ecc6b70bccbe221a1625c40",15,1,4,5,0,0,20,0,9,0,4,0,0,1,0,57,56,2,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,1,0,3,0,1,0,1,0,5,1
"5ed61b295250f805299155eb",16,1,1,1,1,0,2,0,1,0,0,0,0,1,0,16,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"5ed61b575250f805299155f7",16,1,1,2,1,0,3,0,2,0,0,0,0,2,0,16,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"5ed61ba35250f805299155f8",16,1,1,3,1,0,4,0,3,0,0,0,0,3,0,16,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1
"5ed61bc55250f80529915604",16,1,1,4,1,0,5,0,4,0,0,0,0,4,0,16,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1
"5ed61c395250f80529915610",16,1,1,5,3,0,7,0,7,0,0,0,0,7,0,16,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,5,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1
"5eccabf5bccbe221a16271d4",17,1,1,1,0,0,3,0,2,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5eccac5cbccbe221a16271f3",17,1,2,2,0,0,4,0,4,0,2,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5eccacc9bccbe221a162720a",17,1,3,3,0,0,5,0,6,0,2,0,0,0,0,9,8,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5eccad51bccbe221a1627237",17,1,4,4,0,0,6,0,8,3,3,0,0,0,0,10,9,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5eccadacbccbe221a1627244",17,1,5,5,0,0,7,0,10,4,3,0,0,0,0,14,13,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5ecc4f14bccbe221a1624946",18,3,5,5,2,6,14,0,20,0,4,0,0,2,6,40,38,2,0,0,0,2,1,0,0,1,1,1,0,0,0,0,0,4,1,2,21,20,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0
"5ecc5010bccbe221a162499a",18,3,5,5,2,5,14,0,19,0,4,0,0,2,5,38,36,2,0,0,0,2,1,0,0,1,1,1,0,0,0,0,0,4,1,2,21,20,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0
"5ecc50dabccbe221a1624a0a",18,3,5,5,2,4,14,0,18,0,4,0,0,2,4,36,33,2,0,0,0,2,1,0,0,1,1,1,0,0,0,0,0,4,1,2,21,20,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0
"5ecc51b4bccbe221a1624a95",18,3,5,5,2,3,14,0,16,0,3,0,0,2,3,33,30,2,0,0,0,2,1,0,0,1,1,1,0,0,0,0,0,4,1,2,21,20,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0
"5ecc529dbccbe221a1624bc6",18,3,5,5,2,2,14,0,15,0,3,0,0,2,2,30,26,2,0,0,0,2,1,0,0,1,1,1,0,0,0,0,0,4,1,2,20,19,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0
"5ecc9b1cbccbe221a1626c07",19,1,1,1,0,0,3,0,3,1,0,0,0,0,0,18,15,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,1,0,0,0,2,1
"5ecc9b8bbccbe221a1626c2e",19,1,2,2,0,1,6,0,4,1,0,0,0,0,1,20,19,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,3,0,0,0,1,0,0,0,2,1
"5ecc9ca4bccbe221a1626c67",19,1,3,3,0,1,11,0,5,8,0,0,0,0,1,22,21,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,3,0,2,0,1,0,1,0,3,1
"5ecc9d03bccbe221a1626c97",19,1,4,4,0,1,13,0,8,10,1,0,0,0,1,23,21,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,3,0,5,0,1,0,1,0,3,1
"5ecc9dfbbccbe221a1626cf4",19,1,5,5,0,1,15,0,9,10,1,0,0,0,1,25,24,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,11,0,0,0,0,0,3,0,6,0,1,0,5,0,3,1
"5ecd8c52bccbe221a162a165",20,1,1,1,0,0,1,0,2,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
